FECHA,BASE_REC,INTERMEDIO_REC,PUNTA_REC
01/05/2026,0.0,0.0,0.0
01/06/2026,0.0,37828.8,3412.8
01/07/2026,0.0,35740.8,3398.4
02/05/2026,0.0,0.0,0.0
02/06/2026,0.0,39024.0,3412.8
02/07/2026,0.0,36331.2,3412.8
03/05/2026,0.0,0.0,0.0
03/06/2026,0.0,15321.6,0.0
03/07/2026,0.0,36417.6,3412.8
04/05/2026,0.0,648.0,0.0
04/06/2026,0.0,15595.2,0.0
04/07/2026,2088.0,33652.8,0.0
05/05/2026,0.0,16459.2,0.0
05/06/2026,0.0,25200.0,0.0
05/07/2026,0.0,0.0,0.0
06/05/2026,28.8,41702.4,5486.400000000001
06/06/2026,1929.6000000000001,19900.8,0.0
06/07/2026,0.0,35236.799999999996,4550.4
07/05/2026,0.0,40896.0,4550.4
07/06/2026,0.0,0.0,0.0
07/07/2026,0.0,11160.0,0.0
08/05/2026,0.0,32860.8,0.0
08/06/2026,0.0,31435.2,2822.4
09/05/2026,1756.8,42019.2,0.0
09/06/2026,0.0,30225.600000000002,2822.4
10/05/2026,388.8,0.0,0.0
10/06/2026,0.0,20505.600000000002,0.0
11/05/2026,0.0,40896.0,5313.6
11/06/2026,0.0,14947.2,0.0
12/05/2026,0.0,42249.6,5313.6
12/06/2026,0.0,30945.600000000002,3398.4
13/05/2026,0.0,32544.0,0.0
13/06/2026,1785.6000000000001,32443.2,0.0
14/05/2026,0.0,41328.0,5040.0
14/06/2026,273.6,0.0,0.0
15/05/2026,0.0,42364.8,5342.4
15/06/2026,0.0,32472.0,3398.4
16/05/2026,1972.8,45676.8,0.0
16/06/2026,0.0,37800.0,3412.8
17/05/2026,446.4,0.0,0.0
17/06/2026,0.0,35841.6,3398.4
18/05/2026,0.0,41788.8,5313.6
18/06/2026,0.0,35596.8,3412.8
19/05/2026,0.0,25704.0,0.0
19/06/2026,0.0,35510.4,3412.8
20/05/2026,0.0,37828.8,5414.4
20/06/2026,1728.0,34171.2,0.0
21/05/2026,0.0,40968.0,3412.8
21/06/2026,259.2,0.0,0.0
22/05/2026,0.0,40507.2,3412.8
22/06/2026,0.0,33638.4,3412.8
23/05/2026,1886.4,42177.6,0.0
23/06/2026,0.0,33796.799999999996,3412.8
24/05/2026,489.6,0.0,0.0
24/06/2026,0.0,33796.799999999996,3412.8
25/05/2026,0.0,38923.2,3412.8
25/06/2026,0.0,30686.4,3398.4
26/05/2026,0.0,37728.0,2836.8
26/06/2026,0.0,32572.8,3412.8
27/05/2026,0.0,35827.2,2246.4
27/06/2026,1900.8,34185.6,0.0
28/05/2026,0.0,23227.2,0.0
28/06/2026,288.0,0.0,0.0
29/05/2026,0.0,38059.2,3398.4
29/06/2026,0.0,35337.6,3398.4
30/05/2026,1872.0,30484.8,0.0
30/06/2026,0.0,32472.0,3398.4
31/05/2026,0.0,0.0,0.0
